objectid,park_name,site_number,table_count,comments,data_source,lat,lng
1,Belmont Grove ,1,10,West Fairmount Park- Belmont Grove Picnic Pavilion,"2017 Field Collection, Pictometry 2020",39.99252806272725,-75.21500343723882
2,Franklin Delano Roosevelt Park,7,3,,"2018 Street Smart, Pictometry 2020",39.9034494458027,-75.18316312043147
3,Franklin Delano Roosevelt Park,8,3,,"2018 Street Smart, Pictometry 2020",39.902252905522595,-75.1836174781935
4,Franklin Delano Roosevelt Park,9,3,,"2018 Street Smart, Pictometry 2020",39.901883930510195,-75.18360769117928
5,Franklin Delano Roosevelt Park,10,3,,2020 Street Smart,39.90126209555581,-75.18264723027977
6,Franklin Delano Roosevelt Park,11,3,,"2017 Field Collection, Pictometry 2020",39.90134512223414,-75.18215939199408
7,Franklin Delano Roosevelt Park,12,3,,"2017 Field Collection, Pictometry 2020",39.90161559732148,-75.18102183724226
8,Franklin Delano Roosevelt Park,13,3,Non-fixed tables,"2018 Street Smart, Pictometry 2020",39.899627185220126,-75.17875169121585
9,Franklin Delano Roosevelt Park,14,3,Non-fixed tables,NearMap 2021,39.89977729241938,-75.17846629339316
10,Franklin Delano Roosevelt Park,20,3,,"2020 Street Smart, Pictometry 2020",39.90175299526535,-75.17629086626853
11,Franklin Delano Roosevelt Park,18,3,,"2018 Street Smart, Pictometry 2020",39.90131881434162,-75.17628248978124
12,Franklin Delano Roosevelt Park,19,3,,"2018 Street Smart, Pictometry 2020",39.9013759019535,-75.17718573783156
13,Franklin Delano Roosevelt Park,15,3,Non-fixed tables,"2018 Street Smart, Pictometry 2020",39.899846879571164,-75.17798752444237
14,Franklin Delano Roosevelt Park,16,3,Non-fixed tables,"2018 Street Smart, Pictometry 2020",39.89992790846095,-75.17763887568746
15,Franklin Delano Roosevelt Park,17,3,Non-fixed tables,"2018 Street Smart, Pictometry 2020",39.90005337414432,-75.17710989867469
16,Franklin Delano Roosevelt Park,21,3,,"2020 Street Smart, Pictometry 2020",39.9026076994476,-75.17569934597014
17,Fernhill Park,1,4,Pavilion,"2017 Field Collection, PPR Buildings & Structures",40.020323038772574,-75.16696200190141
18,Fernhill Park,2,4,Picnic Pavilion,"2017 Field Collection, PPR Buildings & Structures",40.01960428148805,-75.16899836999809
19,Fernhill Park,3,3,Under trees,2017 Field Collection,40.019295688905935,-75.1695521656841
20,Blue Bell Park,3,3,Wissahickon Valley Park,"2017 Field Collection, Pictometry 2020",40.032008210018965,-75.19581689424368
21,Blue Bell Park,2,3,Wissahickon Valley Park,"2017 Field Collection, Pictometry 2020",40.031542629531685,-75.1954070874608
22,Blue Bell Park,1,3,Wissahickon Valley Park - Blue Bell Pavilion,"Google Street View 2020, Pictometry 2020, NearMap 2021",40.03122566614615,-75.19524846931101
23,Blue Bell Park,4,3,Wissahickon Valley Park,"2017 Field Collection, Pictometry 2020",40.030715951889235,-75.19494779212663
24,Blue Bell Park,5,3,Wissahickon Valley Park,"2017 Field Collection, Pictometry 2020",40.030592482013766,-75.19522365835415
25,Blue Bell Park,6,3,Wissahickon Valley Park,"2017 Field Collection, Pictometry 2020",40.030404387640516,-75.1951223304549
26,David P Montgomery Field,1,2,,"2017 Field Collection, Pictometry 2020",40.022083218154435,-75.20333762812562
27,Salvatore Pachella Memorial Field,1,4,"Under the pavilion; Located in Wissahickon Valley Park.",PPR Buildings and Structures,40.04579846856052,-75.21587505944953
28,Wissahickon Valley Park,0,5,Valley Green Inn,"2017 Field Collection; 2018 Aerials",40.05345916649147,-75.21770135432514
59,Pennypack Park,1,4,Verree Road Picnic Area,"2017 Field Collection; Google Globetrekker",40.08664444308568,-75.0615911319565
60,Pennypack Park,2,4,Verree Road Picnic Area,"2017 Field Collection, Pictometry 2020",40.087469473839214,-75.06162759347728
61,West Fairmount Park,5,1,North to Tugboat House at Belmont Landing,"2020 Street Smart, Pictometry 2020",39.98232606268611,-75.20524483347073
62,Pennypack Park,3,3,Rhawn Street Picnic Area,"2017 Field Collection, Pictometry 2020",40.049933968083124,-75.0353336223084
63,Pennypack Park,2,3,Rhawn Street Picnic Area,"2017 Field Collection, Pictometry 2020",40.04976415558818,-75.035726380494
64,Pennypack Park,1,4,Rhawn Street Picnic Pavilion,"2017 Field Collection, Pictometry 2020",40.04954078054713,-75.03664690422086
65,East Fairmount Park,1,3,N 33rd St and Cecil B Moore Ave,"Pictometry 2020, 2018 Street Smart",39.982050498711935,-75.18899249924786
66,Pennypack Park,4,2,Rhawn Street Picnic Area,"2017 Field Collection, Pictometry 2020",40.04993004863029,-75.03337891707692
67,Pennypack Park,5,3,Rhawn Street Picnic Area,"2017 Field Collection, Pictometry 2020",40.05030253492797,-75.03312135558679
68,Pennypack on the Delaware,1,2,,"2017 Field Collection, Pictometry 2020",40.02680231166162,-75.0134415978078
69,Pennypack on the Delaware,2,3,,"2017 Field Collection, Pictometry 2020",40.026896873247786,-75.01289197073403
70,Pennypack on the Delaware,3,4,Non-fixed tables,NearMap 2021,40.02738452758125,-75.01208138490627
71,Pennypack on the Delaware,5,2,,"2017 Field Collection, Pictometry 2020",40.027703842352246,-75.01212974414022
72,Pennypack on the Delaware,4,2,,"2017 Field Collection, Pictometry 2020",40.02776203429123,-75.01140126191956
